num_plate,camera_ID,date,direction
ABC123,PAM_1,2023-03-19 14:08:00,entry
ABC123,PAM_2,2023-03-19 14:12:00,exit
ABC123,BUB,2023-03-19 14:15:00,entry
ABC123,CAP,2023-03-19 14:18:00,exit
AB#123,PAM_1,2023-03-19 15:57:00,entry
AB#123,PAM_2,2023-03-19 16:00:00,exit
AB#123,BUB,2023-03-19 16:05:00,entry
AB#123,CAP,2023-03-19 16:08:00,exit
ZYW535,PAM_1,2023-03-19 20:17:00,entry
ZYW535,PAM_2,2023-03-19 20:21:00,exit
ZYW535,BUB,2023-03-19 20:25:00,entry
ZYW535,CAP,2023-03-19 20:28:00,exit
Z_W535,PAM_1,2023-03-19 21:17:00,entry
Z_W535,PAM_2,2023-03-19 21:21:00,exit
Z_W535,BUB,2023-03-19 21:25:00,entry
Z_W535,CAP,2023-03-19 21:28:00,exit
QWERTY,PAM_1,2023-03-19 22:00:00,entry
QWERTY,PAM_2,2023-03-19 22:05:00,exit
QW*RTY,PAM_1,2023-03-19 23:00:00,entry
QW*RTY,PAM_2,2023-03-19 23:05:00,exit
unknown,PAM_1,2023-03-19 23:30:00,entry
